id,field,mngt_soil,transect,distance,type,nest_pa,nest_id,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay
A516,JoMe05,CT,5-6m,5,Control,0,NA,1.3015164933332861,0.6671614431308501,2.38,7.07,33.620159803318984,41.38496209793075,24.994878098750256
A525,JoMe05,CT,10-11m,10,Control,0,NA,1.4038227460994777,0.7282085917633847,2.16,7.03,42.968111201962394,37.81684382665576,19.215044971381847
A510,JoMe05,CT,20-21m,20,Control,0,NA,1.2374414422753595,0.6217290608845812,3.31,7.58,36.704933291964004,24.821594787465095,38.4734719205709
A513,JoMe05,CT,30-31m,30,Control,0,NA,1.286193656226906,0.6576394453524349,3.38,7.25,26.82674394535293,40.77830676878493,32.39494928586214
A10,JoMe05,CT,1-2m,1,Nest,1,JoMe05_FIT_2.1,1.356713619249932,0.6869777234487662,2.74,7.72,25.971622455274527,42.155048324079786,31.87332922064569
A553,PaWe05,NT,0-1m,0,Control,0,NA,1.4220709901370003,0.7336371781019624,2.61,7.86,34.38751411849265,41.48269842899682,24.129787452510524
A505,PaWe05,NT,5-6m,5,Control,0,NA,1.6199126457120292,0.8358956119218026,1.74,8.01,39.649908406269084,41.929574598005296,18.420516995725627
A532,PaWe05,NT,10-11m,10,Control,0,NA,1.4635987872570158,0.7464011077712089,1.91,8.02,32.40901213171577,43.735345091242735,23.855642777041492
A558,PaWe05,NT,20-21m,20,Control,0,NA,1.5771953147221052,0.8212593476657488,1.99,7.84,40.61830425466789,42.64870931537598,16.732986429956124
A542,PaWe05,NT,30-31m,30,Control,0,NA,1.5857555962166792,0.8186327614346685,1.33,7.89,45.67751089490219,38.71490828012568,15.60758082497213
A533,PaWe05,NT,30-31m,30,Nest,1,PaWe05_FIT_1.3,1.3530448280761023,0.7103938726523146,1.85,7.88,46.10290371879776,41.05960264900662,12.837493632195619
A517,PaWe05,NT,30-31m,30,Nest,1,PaWe05_FIT_1.5,1.3751521196287486,0.7118667063585792,2.04,7.94,38.240097999183334,42.56839526337281,19.191506737443856
A551,PaWe05,NT,20-21m,20,Nest,1,PaWe05_FIT_2.2,1.5641520131248345,0.8096163152085672,1.79,7.91,41.350168007331234,41.03451786987068,17.615314122798086
A544,PaWe05,NT,20-21m,20,Nest,1,PaWe05_FIT_2.4,1.4823939721498431,0.7598999651004666,2.02,7.98,34.78260869565217,42.55970606246173,22.6576852418861
